,name,grape_variety,description
47,Making Tracks Cabernet Sauvignon 2017,Cabernet Sauvignon,"Cabernet loves the sun but often in its famous Bordeaux home, it doesn't get enough. This can produce green, austere wines. No such problem in sun-licked Australia. Here Cabernet is pampered and produces big, flavourful reds that cost a fraction of the price of its French cousins. Making Tracks is a tribute to this Aussie brilliance. It's a spicy cocktail of rich blackcurrant, dark cherry, vanilla and oak."
48,"Shaw & Smith Sauvignon Blanc 2019, Adelaide Hills",Sauvignon Blanc,"Shaw & Smith have made this Sauvignon Blanc for 30 years. Made from hand-picked grapes, aged on texture-imparting lees, this is no ordinary Sauvignon Blanc. Expect delicious notes of pink grapefruit, a bright, fresh palate and a luxuriously long finish. Serve with smoked salmon bagels. James Halliday, Australia's top wine critic, gave the 2019 vintage 95 points."
49,Ch St Michelle Cabernet Sauvignon 2016,Cabernet Sauvignon,This Cabernet from Washington's oldest winery is packed with ripe blackcurrant and blackberry flavours. Notes of cedar and vanilla follow on to the silky smooth finish that lingers on the palate with the blackcurrant and plum. The most perfect suitor: Prosciutto wrapped stuffed dates with blue cheese. A must.
50,"Yalumba 'The Signature' Cabernet Sauvignon-Shiraz 2015, Barossa",Cabernet Sauvignon,"You may have tried Yalumba's entry-level work before. This is its Saturday-night wine. Almost equal parts Cabernet Sauvignon and Shiraz, it?s a rich, full-bodied cocktail of mocha, plum, cherry and black pepper that boasts plenty of complexity. Wine Enthusiast gave it 93 points, calling it ""Classic Barossa""."
51,"Vavasour 'Papa' Sauvignon Blanc 2018, Marlborough",Sauvignon Blanc,"Awatere Valley’s stony soils nourish grapes that develop distinct elegance, perfume and texture over a lengthy ripening period. But this cool-climate’s brilliance was unknown until it was discovered by Vavasour. They've picked every grape behind this from one carefully selected spot to make a truly unique, precise expression of the land. Expect a mineral-lined palate of citrus, fresh herbs, blackcurrant leaf and white peach. It’ll partner beautifully with soft, creamy cheeses."
52,Gabb Family Cabernet Sauvignon,Cabernet Sauvignon,"A core of rich blackcurrants and black plums, with a savoury overlay of meat extract, white pepper and mixed spice. The velvety texture is the result of maturation - the wine is at the perfect drinking age and has fine textured tannins."
53,"VIK Milla Cala 2015, Cachapoal Valley",Cabernet Sauvignon,"In 2004, Alex and Carrie Vik set out with the ambition to make one of the world’s best wines. After a two-year scientific study, an architectural competition and 4,300 hectares of Andean wilderness, they now create some of the finest reds in Chile. A previous vintage of the Milla Cala was once featured in Decanter's Best 100 Wines in the World. This has lush flavours of strawberry, plum, vanilla and coffee. Decant for an hour before serving at 16 degrees with roast lamb or cellar for up to a decade."
54,"Château Bertrand-Braneyre 2010, Haut-Médoc",Cabernet Sauvignon,"This claret, from the sublime 2010 vintage, is made less than ten minutes' drive from 'First Growth' Châteaux Lafite and Mouton Rothschild, which both demand £400+ a bottle. Château Bertrand-Braneyre's 40-year-old vines see near-identical conditions, but its prices are minuscule in comparison. Dive into its depths of blackberry, blueberry, cinnamon and leather."
55,"Thierry Delaunay 'Ceptembre' Sauvignon Blanc 2019, VdF",Sauvignon Blanc,"Thierry Delaunay, one of the leading wineries of the Touraine region, ages this deliciously dry Sauvignon Blanc on character-building lees. This results in a textured palate of citrus and fresh-cut grass."
56,Lanson Green Label Organic NV,Pinot Noir,"Founded in 1760, Lanson is one of oldest and most respected houses in Champagne. This is its first ever entirely organic Champagne. Predominantly Pinot Noir, aged on lees for three years, it's pure and fresh with fine notes of citrus and berry fruits weaving through its complex mousse."
