,name,grape_variety,description
67,"Mercurey 2017 Louis Violland, Burgundy",Pinot Noir,"The Côte Chalonnaise was once referred to as the 'Région de Mercurey', which shows how important this famous village is. Aged for 8 months in oak barrels, this is a classical expression of Mercurey. A refined and luscious Pinot Noir, this has bright red berry flavours, hints of earthy minerality and fine-grained tannins."
68,"Framingham Pinot Noir 2018, Marlborough",Pinot Noir,"Marlborough Pinot Noir is world famous, but Framingham has made this style its own by using a portion of whole grape bunches. This is complex and labour-intensive process which involves fermenting the grapes with their stems. However, this extra effort translates to the wines complexity and plush texture. After 10 months in oak, this Pinot has notes of cranberry, cherry, plum and oak spice and silky tannins."
69,"Cape Mentelle Sauvignon Blanc-Semillon 2018, Margaret River",Sauvignon Blanc,"Cape Mentelle is one of the 'Founding Five' wineries of Margaret River, one of Australia's finest wine regions. Its Sauvignon Blanc-Semillon is fresh and juicy, with creamy flavours of lemon and fresh herbs and a textured complexity, thanks to four months of lees ageing."
70,"House of Arras 'Brut Elite Cuvée', Tasmania",Pinot Noir,"House of Arras began in Tasmania as a project to create a sparkling wine on par with the finest Champagne. 25 years later, it's Australia's most-awarded sparkling-wine house. Their 'Brut Elite Cuvée' is a blend of Pinot Noir, Chardonnay and Pinot Meunier. It's complex, structured and boasts a textured character, thanks to oak fermentation and lees ageing. Expect a zesty, persistent spritz and flavours of toast, almond, stone fruit and spiced apple. Wine Advocate's Lisa Perrotti-Brown gave it 91 Parker Points."
71,"Laborie Blanc de Blancs 2014, South Africa",Chardonnay,"In 1691, the Taillefert family moved from France to South Africa and planted their first vines. Today, this estate produces exceptional fizz in a similar method to Champagne, Méthode Cap Classique. This vintage 100% Chardonnay wine was aged for 36 months. This means it’s gloriously complex and indulgent. Try its creamy notes of lime, hazelnut, toasted bread and cream with mussels and chips."
72,"""Haut Cuvee"" Pouilly Fuisse Rijckaert - F. Rouve, Burgundy",Chardonnay,"Florent Rouve is a winemaker on the up, and this is your chance to taste his expertise before prices inevitably rise. This is a full, rich and rounded white that shows exactly why Pouilly-Fuissé's the most prestigious region in the Mâconnais. Expect aromas of apricot, acacia flowers, citrus and honey, a long finish and an excellent minerality. Try this with a roast dinner."
73,"Rupert & Rothschild 'Baroness Nadine' Chardonnay 2018, South Africa",Chardonnay,"This is a collaboration of two of the wine world's big family names, Rupert and Rothschild. It's a creamy, delicate Chardonnay, with flavours of lemon blossom, kiwi, grapefruit and nougat. Serve lightly chilled with salmon."
74,"Creation Pinot Noir 2019, Walker Bay",Pinot Noir,"You may expect that South Africa is too warm for the demanding Pinot Noir grape. But Jean-Claude & Carolyn Martin recognised the potential of the lofty Hemel-en-Aarde Ridge and planted vines 350 metres above sea level. Here they make the Creation Pinot Noir, which is a bright, polished wine with notes of red berries, vanilla and wood spice."
75,"Nautilus Chardonnay 2019, Marlborough",Chardonnay,"At Nautilus, everything is done with sustainability in mind. The winery is part of the Sustainable Winegrowers New Zealand programme and has been owned by the same dedicated family for 25 years. In this Chardonnay, expect classic notes of nectarine and almond, with a creamy finish to come as it matures. Match this luxurious white with an equally creamy pasta."
76,"Trapi del Bueno ‘Hand Made’ Chardonnay 2019, Osorno Valley",Chardonnay,"Before the millennium, planting vines in Chile’s volcanic Osorno Valley, in Patagonia, was unthinkable. But since then, daring winemakers have quickly made it one of Chile’s most exciting regions. Trapi del Bueno are a proud member of Chile’s pioneering Independent Winemakers Movement. You can really taste the fruits of their courage here. These grapes are so delicious, they have to ward off feasting pigs and pumas to create this bright, fresh Chardonnay. Try its hints of lemon and white peach with crab."
77,"Sacred Hill 'Wine Thief' Chardonnay 2018, Hawkes Bay",Chardonnay,"This is a creamy, long, one-off wine made on one of Hawke's Bay's oldest Chardonnay vineyards. These grapes are usually reserved for Sacred Hill's most expensive Chardonnay. It's complex and deep, with notes of nectarine, mango, vanilla, cedar and brioche. Serve this lightly chilled with salmon."
78,"Grant Burge 'Corryton Park' Cabernet 2018, Australia",Cabernet Sauvignon,"Proving that Barossa Cabernet can be just as impressive as the Shiraz, this is all the cassis, spice and licorice that you'd want from an intense, velvety Cabernet Sauvignon. It's got the Grant Burge stamp of quality, meaning it tastes great now, and will also continue to age wonderfully if you want to store it for a few years."
79,"Edgebaston Chardonnay 2019, Stellenbosch",Chardonnay,"With the belief that Stellenbosch is South Africa's finest winemaking region, the Finlayson family craft wines for the discerning collector and enthusiast alike. This is the 13th vintage of their Chardonnay, and you'll find a complex array of flavours. Expect notes of lime, sourdough and cinnamon. Sublime with shellfish."
80,Domaine Berthenet 'Les Bonneveaux' Montagny Premier Cru 2017,Chardonnay,"Domaine Berthenet want only the best. So they've picked Francois Berthenet, Guide Hachette's Winemaker of the Year 2020, as their winemaker. Needless to say, you can expect big things from this wine. It has complex and rich flavours of ripe fruits, pear, peach and hazelnuts. Enjoy lightly chilled with a strong cheese, like Gruyere or Gouda."
81,"Bouchard Père & Fils Volnay Premier Cru 2017, Les Caillerets",Pinot Noir,"Bouchard Père & Fils is one of the oldest estates in Burgundy. It's been going strong for nearly three centuries. The exceptional winemaking continues with Frédéric Weber. His care and patience has upheld the estate’s reputation for excellence for almost 20 years. And it really shows in this red Burgundy. It's made from Premier Cru vineyards in the famous 'Les Caillerets' area of Volnay. It's rich, complex and silky, with flavours of cherry, toasted oak and spice that's go exceptionally well with duck. Drink at room temperature now or age for another 7-10 years."
82,"Castello Fonterutoli 'Philip' Cabernet 2016, Tuscany",Cabernet Sauvignon,"The Mazzei family have made wine in Tuscany since 1435. Today, the estate boasts one of the most impressive cellars of the region. Winemaker Francesco Mazzei is a 24th generation family member. And the family brilliance really shines in this Cabernet Sauvignon. It's supple and silky, with flavours of black fruit, plum, dark chocolate, spice and cinnamon. Decant for an hour before serving at 14-16 degrees with grilled meat."
83,"Château La Garde Pessac-Léognan Blanc 2019, Graves",Sauvignon Blanc,"Château La Garde has exceptional gravel soils. The winemaking team here claim that this is one of the finest areas for Bordeaux Blanc. Taste this and decide for yourself. This is a fresh, fruity and complex wine, with notes of citrus fruit, a mineral, chalky character and a long finish. At its best lightly chilled with asparagus risotto."
84,Remi Seguin Gevrey-Chambertin Premier Cru 2017,Pinot Noir,"This is a complex, harmonious Pinot Noir made from premier cru vineyards in Gevrey-Chambertin. It's full-bodied and structured, with flavours of ripe black fruit, prune and cinnamon, refeshing acidity and ripe tannins. Serve at 16-17 degrees with lamb. Drink now or cellar for 5-10 years."
85,Joseph Drouhin Chassagne-Montrachet 2018,Chardonnay,"Chassagne-Montrachet is where you'll find some of the world's finest Chardonnay. This really lives up to the area's reputation. It's a generous and elegant wine, with notes of brioche, candied lemon, hazelnut and spice. Serve it lightly chilled with creamy chicken."
86,Château Caronne Ste-Gemme 2014 Magnum Haut-Médoc,Cabernet Sauvignon,"Château Caronne Ste-Gemme is outstanding value for money and a Majestic classic. And now there's twice as much in the bottle. This is a rich, ripe and fruity claret, with notes of black berries, a smooth mouthfeel and a long, fresh finish. This magnum is ideal to wow your guests at a dinner party."
87,"Radford Dale 'Freedom' Pinot Noir 2018/19, Elgin",Pinot Noir,"Alex Dale left Burgundy for winemaking liberty just weeks after Nelson Mandela was elected president of South Africa - and that's when the 'Freedom' Pinot Noir began. This is fresh, perfumed and complex, with notes of strawberry, bramble fruit, oak and spice. Serve at room temperature with a hearty stew."
88,"Olivier Leflaive 'Sous le Château' 2018, Saint-Romain",Chardonnay,"The winemaking team at Olivier Leflaive have forged great relationships with small, lesser-known grape growers. This means they get first dibs on some of the finest grapes in Burgundy. And it really shows in the estate's fantastic reputation. This is from Saint-Romain, the small, high-altitude appellation known for its mineral whites. Expect intense flavours of peach, citrus and spice. Serve at 12 degrees with pâté."
89,"Olivier Leflaive Montagny 1er Cru 2018, Burgundy",Chardonnay,"The winemaking team at Olivier Leflaive have forged great relationships with small, lesser-known grape growers. This means they get first dibs on some of the finest grapes in Burgundy. And this is made from only premier cru vineyards. While young, this is fresh and appealing, with hints of citrus, pineapple, spice and hazelnut. It will develop a savoury complexity over the next five years. Best served at 12 degrees with hard cheeses."
90,"Balfour Saignée 2018, Kent",Pinot Noir,"The dynamic team at Balfour have applied the traditional Saignée technique - more commonly seen in Champagne and rarely found in rosé - to craft this unique wine. This involves extracting juice from a period of grape skin contact, rather than blending. The result? A structured and fragrant wine with herbaceous character and notes of thyme, fennel and rose. Enjoy with creamy chicken dishes or soft cheeses."
91,Hambledon Classic Cuvée,Chardonnay,"Hambledon is the UK's oldest commercial vineyard, and its head winemaker, Hervé Jestin, was cellarmaster at the Duval Leroy Champagne house for over 20 years. The Classic Cuvée, a blend of Chardonnay, Pinot Noir & Pinot Meunier, once famously beat Pol Roger, Veuve Clicquot and Taittinger in a blind tasting. It has notes of fresh bread, greengage, red plums and dessert apples and a precise acidity."
